Total_Energy_Cost_INR,Total_Energy_kWh,Peak_Hour_Load_kW,Makespan_min,Makespan_hours,Machine_Utilization_pct,Average_Waiting_Time_min,Total_Idle_Time_min,Total_Delay_min,Late_Jobs,On_Time_Completion_pct,Total_Carbon_Emissions_tCO2,Total_Power_Factor_Penalty_INR,Algorithm,Seed,N_Jobs,N_Machines,Runtime_s,Solver_Status,Optimality_Proven,Objective_Value,Best_Bound,Warm_Start
139974.48,15369.215,609.48,3045.0,50.75,51.29,146.84,11865.0,0.0,0,100.0,700.992238,24009.41,CP_SAT_Warm,44,190,8,120.03,FEASIBLE,False,256619260.0,130415280.0,True
105669.88,15331.3575,214.48,3450.0,57.5,45.27,424.03,15105.0,630.0,14,92.63,808.941897,18400.36,CP_SAT_Cold,44,190,8,120.05,FEASIBLE,False,173512250.0,21350.0,False
196191.55,19771.3975,784.48,2940.0,49.0,50.64,53.25,11610.0,0.0,0,100.0,815.417671,33110.76,FCFS,45,200,8,0.005,GREEDY,False,,,
181141.3,19940.3375,709.48,2940.0,49.0,50.64,77.4,11610.0,330.0,2,99.0,902.253208,30610.86,SPT,45,200,8,0.005,GREEDY,False,,,
198504.34,19820.48,784.48,2940.0,49.0,50.64,57.67,11610.0,0.0,0,100.0,827.728954,33616.87,LPT,45,200,8,0.005,GREEDY,False,,,
193356.28,19936.065,784.48,2940.0,49.0,50.64,59.02,11610.0,0.0,0,100.0,853.140295,32699.05,EDD,45,200,8,0.005,GREEDY,False,,,
201619.62,20595.5925,784.48,2940.0,49.0,50.64,50.33,11610.0,0.0,0,100.0,864.743873,34147.06,Energy_Unaware_Greedy,45,200,8,0.005,GREEDY,False,,,
195305.23,19761.9875,784.48,2940.0,49.0,50.64,53.55,11610.0,0.0,0,100.0,828.938642,33029.21,Makespan_Greedy,45,200,8,0.005,GREEDY,False,,,
173214.1,17308.7575,784.48,3000.0,50.0,49.62,85.72,12090.0,0.0,0,100.0,735.507901,29323.43,FD_PDTS_Deterministic,45,200,8,0.034,GREEDY,False,,,
174421.96,17562.2425,784.48,3015.0,50.25,49.38,90.67,12210.0,0.0,0,100.0,763.598894,29562.24,FD_PDTS_Robust,45,200,8,0.034,GREEDY,False,,,
128080.98,13478.005,426.48,3030.0,50.5,49.13,102.38,12330.0,0.0,0,100.0,608.684581,21724.53,CP_SAT_Warm,45,200,8,120.01,FEASIBLE,False,229770830.0,127099430.0,True
98954.22,13308.0375,249.48,3555.0,59.25,41.88,423.3,16530.0,1170.0,18,91.0,704.405683,17005.85,CP_SAT_Cold,45,200,8,120.05,FEASIBLE,False,156245960.0,2426740.0,False
192624.56,19215.5525,784.48,2955.0,49.25,51.02,87.17,11580.0,0.0,0,100.0,786.125454,32822.36,FCFS,46,180,8,0.005,GREEDY,False,,,
179810.75,19938.8475,709.48,3030.0,50.5,49.75,121.33,12180.0,2145.0,5,97.22,863.564913,30798.56,SPT,46,180,8,0.005,GREEDY,False,,,
198142.01,19464.3775,784.48,2955.0,49.25,51.02,103.67,11580.0,195.0,2,98.89,773.955513,33745.09,LPT,46,180,8,0.005,GREEDY,False,,,
197073.57,20098.045,784.48,2940.0,49.0,51.28,83.33,11460.0,0.0,0,100.0,823.019253,33543.07,EDD,46,180,8,0.005,GREEDY,False,,,
198539.31,20203.13,784.48,2955.0,49.25,51.02,88.42,11580.0,0.0,0,100.0,824.091099,33847.5,Energy_Unaware_Greedy,46,180,8,0.005,GREEDY,False,,,
194520.16,19472.0325,784.48,2955.0,49.25,51.02,89.5,11580.0,0.0,0,100.0,789.125933,33133.38,Makespan_Greedy,46,180,8,0.005,GREEDY,False,,,
184693.16,18565.1425,784.48,2970.0,49.5,50.76,120.92,11700.0,0.0,0,100.0,763.915971,31522.11,FD_PDTS_Deterministic,46,180,8,0.032,GREEDY,False,,,
187084.84,18977.3125,784.48,2955.0,49.25,51.02,117.58,11580.0,0.0,0,100.0,785.880622,31908.28,FD_PDTS_Robust,46,180,8,0.033,GREEDY,False,,,
137745.59,14535.645,609.48,2955.0,49.25,51.02,132.42,11580.0,0.0,0,100.0,620.866163,23552.58,CP_SAT_Warm,46,180,8,120.02,FEASIBLE,False,260235350.0,153370890.0,True
95022.14,14496.555,161.48,3345.0,55.75,45.07,469.67,14700.0,495.0,9,95.0,751.139651,16454.63,CP_SAT_Cold,46,180,8,120.05,FEASIBLE,False,164953120.0,672280.0,False
166645.04,16303.56,784.48,2880.0,48.0,41.41,31.78,13500.0,0.0,0,100.0,681.762683,28126.54,FCFS,47,160,8,0.004,GREEDY,False,,,
160493.97,15890.855,742.48,2850.0,47.5,41.84,39.28,13260.0,0.0,0,100.0,703.320008,27066.95,SPT,47,160,8,0.004,GREEDY,False,,,
163485.44,15838.6875,784.48,2880.0,48.0,41.41,27.28,13500.0,0.0,0,100.0,656.468342,27547.44,LPT,47,160,8,0.004,GREEDY,False,,,
162411.53,16070.5225,749.48,2880.0,48.0,41.41,38.62,13500.0,0.0,0,100.0,682.380235,27492.21,EDD,47,160,8,0.004,GREEDY,False,,,
170649.43,16667.0125,784.48,2880.0,48.0,41.41,26.81,13500.0,0.0,0,100.0,689.809759,28770.35,Energy_Unaware_Greedy,47,160,8,0.004,GREEDY,False,,,
163268.28,15723.8125,784.48,2880.0,48.0,41.41,28.5,13500.0,0.0,0,100.0,654.416631,27453.72,Makespan_Greedy,47,160,8,0.004,GREEDY,False,,,
139227.95,13126.555,784.48,2895.0,48.25,41.19,56.06,13620.0,0.0,0,100.0,542.298433,23544.36,FD_PDTS_Deterministic,47,160,8,0.03,GREEDY,False,,,
139227.95,13126.555,784.48,2895.0,48.25,41.19,56.06,13620.0,0.0,0,100.0,542.298433,23544.36,FD_PDTS_Robust,47,160,8,0.031,GREEDY,False,,,
104795.5,9861.04,454.48,2865.0,47.75,41.62,61.97,13380.0,0.0,0,100.0,451.755399,17690.96,CP_SAT_Warm,47,160,8,120.02,FEASIBLE,False,180868850.0,113210410.0,True
75277.14,9937.83,161.48,3270.0,54.5,36.47,411.84,16620.0,810.0,12,92.5,565.7635,13038.22,CP_SAT_Cold,47,160,8,120.04,FEASIBLE,False,111308650.0,3587280.0,False
185786.63,17455.635,784.48,2835.0,47.25,47.75,52.27,11850.0,0.0,0,100.0,667.92919,31511.53,FCFS,48,165,8,0.004,GREEDY,False,,,
174999.05,18278.99,784.48,2955.0,49.25,45.81,85.0,12810.0,450.0,3,98.18,768.914744,29914.89,SPT,48,165,8,0.005,GREEDY,False,,,
188155.43,17496.6225,784.48,2835.0,47.25,47.75,65.73,11850.0,0.0,0,100.0,655.862257,31935.64,LPT,48,165,8,0.004,GREEDY,False,,,
187132.63,17978.08,784.48,2835.0,47.25,47.75,67.0,11850.0,0.0,0,100.0,718.047706,31851.92,EDD,48,165,8,0.005,GREEDY,False,,,
192220.67,18608.585,784.48,2835.0,47.25,47.75,60.55,11850.0,0.0,0,100.0,724.586173,32560.77,Energy_Unaware_Greedy,48,165,8,0.004,GREEDY,False,,,
190286.43,17855.1875,784.48,2835.0,47.25,47.75,52.0,11850.0,0.0,0,100.0,680.431544,32194.36,Makespan_Greedy,48,165,8,0.004,GREEDY,False,,,
174503.91,16761.67,784.48,2850.0,47.5,47.5,90.73,11970.0,0.0,0,100.0,653.250693,29663.33,FD_PDTS_Deterministic,48,165,8,0.03,GREEDY,False,,,
170659.45,16042.9175,784.48,2910.0,48.5,46.52,93.91,12450.0,0.0,0,100.0,625.503287,29051.36,FD_PDTS_Robust,48,165,8,0.029,GREEDY,False,,,
129464.71,12501.785,454.48,2955.0,49.25,45.81,105.73,12810.0,0.0,0,100.0,521.788787,22113.93,CP_SAT_Warm,48,165,8,120.02,FEASIBLE,False,235870610.0,154049410.0,True
85359.32,12122.195,119.48,3405.0,56.75,39.76,464.09,16410.0,855.0,13,92.12,656.288561,14910.89,CP_SAT_Cold,48,165,8,120.04,FEASIBLE,False,137975470.0,448420.0,False
185654.62,17191.91,784.48,2775.0,46.25,46.35,38.62,11910.0,0.0,0,100.0,689.583056,31782.97,FCFS,49,160,8,0.004,GREEDY,False,,,
162579.72,16974.2825,749.48,3015.0,50.25,42.66,81.94,13830.0,90.0,1,99.38,778.028603,27953.84,SPT,49,160,8,0.004,GREEDY,False,,,
184760.0,17374.5375,784.48,2775.0,46.25,46.35,55.88,11910.0,0.0,0,100.0,707.07116,31564.49,LPT,49,160,8,0.004,GREEDY,False,,,
178272.66,16933.7425,784.48,2805.0,46.75,45.86,53.72,12150.0,0.0,0,100.0,700.171686,30428.56,EDD,49,160,8,0.004,GREEDY,False,,,
185777.16,17387.925,784.48,2820.0,47.0,45.61,50.44,12270.0,0.0,0,100.0,711.939788,31716.63,Energy_Unaware_Greedy,49,160,8,0.004,GREEDY,False,,,
177906.74,16362.385,784.48,2790.0,46.5,46.1,41.91,12030.0,0.0,0,100.0,663.461656,30477.43,Makespan_Greedy,49,160,8,0.004,GREEDY,False,,,
162181.26,15044.05,784.48,2895.0,48.25,44.43,78.75,12870.0,0.0,0,100.0,632.784274,27806.14,FD_PDTS_Deterministic,49,160,8,0.029,GREEDY,False,,,
162269.31,15014.1625,784.48,2895.0,48.25,44.43,78.66,12870.0,0.0,0,100.0,631.438524,27800.29,FD_PDTS_Robust,49,160,8,0.029,GREEDY,False,,,
122779.02,11582.5525,499.48,2955.0,49.25,43.53,88.22,13350.0,0.0,0,100.0,509.125037,21064.02,CP_SAT_Warm,49,160,8,120.02,FEASIBLE,False,218435650.0,132529650.0,True
84775.64,11203.84,86.48,3465.0,57.75,37.12,441.47,17430.0,735.0,15,90.62,623.564662,14926.78,CP_SAT_Cold,49,160,8,120.08,FEASIBLE,False,126238710.0,2063610.0,False
